SpeedOfLight,Temp,Day,AMPM
299.85,76,1,2
299.74,72,3,2
299.9,72,3,2
300.07,72,3,2
299.93,72,3,2
299.85,72,3,2
299.95,83,5,2
299.98,83,5,2
299.98,83,5,2
299.88,83,5,2
300,83,5,2
299.98,90,6,2
299.93,90,6,2
299.65,71,8,1
299.76,71,8,1
299.81,71,8,1
300,72,9,1
300,72,9,1
299.96,72,9,1
299.96,79,9,2
299.96,79,9,2
299.94,79,9,2
299.96,79,9,2
299.94,79,9,2
299.88,79,9,2
299.8,79,9,2
299.85,64,10,1
299.88,64,10,1
299.9,65,10,1
299.84,66,10,1
299.83,67,10,1
299.79,84,10,2
299.81,85,10,2
299.88,84,10,2
299.88,84,10,2
299.83,84,10,2
299.8,62,13,1
299.79,63,13,1
299.76,64,13,1
299.8,77,13,2
299.88,77,13,2
299.88,77,13,2
299.88,77,13,2
299.86,77,13,2
299.72,58,14,1
299.72,58,14,1
299.62,59,14,1
299.86,75,14,2
299.97,75,14,2
299.95,75,14,2
299.88,60,16,1
299.91,61,16,1
299.85,62,16,1
299.87,63,16,1
299.84,78,16,2
299.84,79,16,2
299.85,80,16,2
299.84,79,16,2
299.84,79,16,2
299.84,79,16,2
299.89,61,17,1
299.81,62,17,1
299.81,63,17,1
299.82,64,17,1
299.8,65,17,1
299.77,80,17,2
299.76,81,17,2
299.74,82,17,2
299.75,82,17,2
299.76,81,17,2
299.91,89,19,2
299.92,89,19,2
299.89,90,19,2
299.86,90,19,2
299.88,90,19,2
299.72,72,20,1
299.84,73,20,1
299.85,74,20,1
299.85,75,20,1
299.78,76,20,1
299.89,86,22,2
299.84,86,22,2
299.78,73,23,1
299.81,74,23,1
299.76,75,23,1
299.81,75,23,1
299.79,76,23,1
299.81,76,23,1
299.82,85,26,2
299.85,86,26,2
299.87,86,26,2
299.87,86,26,2
299.81,83,27,2
299.74,84,27,2
299.81,86,27,2
299.94,86,27,2
299.95,86,28,2
299.8,86,28,2
299.81,86,28,2
299.87,85,28,2
